family,schedule,date,J_plan,J_rev,J_emerg,J,e_kWh,a_up_kWh
ra,none,2025-02-01,25850.967857004267,0.0,1529.996896660889,27380.964753665157,329.8530492361119,0.0
ra,none,2025-02-02,60213.50532586583,0.0,125.84391677125,60339.34924263708,34.00312166666663,0.0
ra,none,2025-02-03,61496.36027273472,0.0,201.50962332569503,61697.86989606041,46.56820069444451,0.0
ra,none,2025-02-04,63793.22461437263,0.0,222.25333670125,64015.47795107388,103.7368348611111,0.0
ra,none,2025-02-05,59379.822297991814,0.0,622.7603874991804,60002.582685491,178.5021457465291,0.0
ra,none,2025-02-06,63961.32174397692,0.0,159.16258456638926,64120.48432854331,48.54548359375008,0.0
ra,none,2025-02-07,25854.31879522902,0.0,316.1642399528821,26170.483035181904,56.44152765625,0.0
ra,none,2025-02-08,20240.998603249882,0.0,4146.794184415992,24387.792787665872,1004.7267808159722,0.0
ra,none,2025-02-09,58390.69523531402,0.0,290.85417879430616,58681.549414108325,70.47809059027793,0.0
ra,none,2025-02-10,55942.695246622505,0.0,321.91400749501895,56264.609254117524,86.67579628472258,0.0
ra,none,2025-02-11,56206.44042683104,0.0,1384.4489204581155,57590.88934728916,290.46613559027776,0.0
ra,none,2025-02-12,56257.640603084874,0.0,372.2093688109019,56629.849971895776,85.27000892361073,0.0
ra,none,2025-02-13,52134.116725632884,0.0,895.4101816096168,53029.5269072425,190.42675975694402,0.0
ra,none,2025-02-14,20336.395483866574,0.0,2265.9027195530152,22602.29820341959,523.514176944445,0.0
ra,none,2025-02-15,21044.657900847094,0.0,3215.991752645985,24260.649653493077,728.4023725520824,0.0
ra,none,2025-02-16,56226.797413904074,0.0,896.8268388563876,57123.62425276046,246.04025163194473,0.0
ra,none,2025-02-17,55311.941370935034,0.0,825.0267433103718,56136.96811424541,195.48148338541637,0.0
ra,none,2025-02-18,49448.385882249204,0.0,3652.5193368075247,53100.90521905673,1099.1368600347218,0.0
ra,none,2025-02-19,49824.51545479277,0.0,2602.135308616679,52426.650763409445,784.612471961802,0.0
ra,none,2025-02-20,51322.452962065116,0.0,1656.5134807326685,52978.966442797784,377.5370090625005,0.0
ra,none,2025-02-21,18746.51748237588,0.0,2170.520724965537,20917.038207341415,581.7164293923611,0.0
ra,none,2025-02-22,19376.02662607708,0.0,2069.6711005123207,21445.697726589402,498.8107970312544,0.0
ra,none,2025-02-23,50714.67850300745,0.0,3375.0976659769185,54089.776168984376,785.225365815974,0.0
ra,none,2025-02-24,48872.92963866057,0.0,3054.2457428140406,51927.17538147461,953.0959374131936,0.0
